path,wave,loc_estimate
hbsd/src/lib/msun/src/catrig.c,wave2,652
hbsd/src/lib/msun/src/catrigf.c,wave2,392
hbsd/src/lib/msun/src/catrigl.c,wave2,414
hbsd/src/lib/msun/src/e_acos.c,wave2,107
hbsd/src/lib/msun/src/e_acosf.c,wave2,80
hbsd/src/lib/msun/src/e_acosh.c,wave2,64
hbsd/src/lib/msun/src/e_acoshf.c,wave2,45
hbsd/src/lib/msun/src/e_acoshl.c,wave2,85
hbsd/src/lib/msun/src/e_acosl.c,wave2,83
hbsd/src/lib/msun/src/e_asin.c,wave2,113
hbsd/src/lib/msun/src/e_asinf.c,wave2,68
hbsd/src/lib/msun/src/e_asinl.c,wave2,73
hbsd/src/lib/msun/src/e_atan2.c,wave2,125
hbsd/src/lib/msun/src/e_atan2f.c,wave2,93
hbsd/src/lib/msun/src/e_atan2l.c,wave2,116
hbsd/src/lib/msun/src/e_atanh.c,wave2,64
hbsd/src/lib/msun/src/e_atanhf.c,wave2,42
hbsd/src/lib/msun/src/e_atanhl.c,wave2,70
hbsd/src/lib/msun/src/e_cosh.c,wave2,81
hbsd/src/lib/msun/src/e_coshf.c,wave2,56
hbsd/src/lib/msun/src/e_coshl.c,wave2,129
hbsd/src/lib/msun/src/e_exp.c,wave2,160
hbsd/src/lib/msun/src/e_expf.c,wave2,95
hbsd/src/lib/msun/src/e_fmod.c,wave2,128
hbsd/src/lib/msun/src/e_fmodf.c,wave2,103
hbsd/src/lib/msun/src/e_fmodl.c,wave2,145
hbsd/src/lib/msun/src/e_gamma.c,wave2,29
hbsd/src/lib/msun/src/e_gamma_r.c,wave2,28
hbsd/src/lib/msun/src/e_gammaf.c,wave2,31
hbsd/src/lib/msun/src/e_gammaf_r.c,wave2,30
hbsd/src/lib/msun/src/e_hypot.c,wave2,125
hbsd/src/lib/msun/src/e_hypotf.c,wave2,80
hbsd/src/lib/msun/src/e_hypotl.c,wave2,120
hbsd/src/lib/msun/src/e_j0.c,wave2,385
hbsd/src/lib/msun/src/e_j0f.c,wave2,340
hbsd/src/lib/msun/src/e_j1.c,wave2,379
hbsd/src/lib/msun/src/e_j1f.c,wave2,335
hbsd/src/lib/msun/src/e_jn.c,wave2,270
hbsd/src/lib/msun/src/e_jnf.c,wave2,201
hbsd/src/lib/msun/src/e_lgamma.c,wave2,35
hbsd/src/lib/msun/src/e_lgamma_r.c,wave2,299
hbsd/src/lib/msun/src/e_lgammaf.c,wave2,31
hbsd/src/lib/msun/src/e_lgammaf_r.c,wave2,212
hbsd/src/lib/msun/src/e_lgammal.c,wave2,21
hbsd/src/lib/msun/src/e_log.c,wave2,143
hbsd/src/lib/msun/src/e_log10.c,wave2,90
hbsd/src/lib/msun/src/e_log10f.c,wave2,69
hbsd/src/lib/msun/src/e_log2.c,wave2,113
hbsd/src/lib/msun/src/e_log2f.c,wave2,79
hbsd/src/lib/msun/src/e_logf.c,wave2,86
hbsd/src/lib/msun/src/e_pow.c,wave2,314
hbsd/src/lib/msun/src/e_powf.c,wave2,253
hbsd/src/lib/msun/src/e_rem_pio2.c,wave2,176
hbsd/src/lib/msun/src/e_rem_pio2f.c,wave2,75
hbsd/src/lib/msun/src/e_remainder.c,wave2,75
hbsd/src/lib/msun/src/e_remainderf.c,wave2,62
hbsd/src/lib/msun/src/e_remainderl.c,wave2,37
hbsd/src/lib/msun/src/e_scalb.c,wave2,43
hbsd/src/lib/msun/src/e_scalbf.c,wave2,40
hbsd/src/lib/msun/src/e_sinh.c,wave2,75
hbsd/src/lib/msun/src/e_sinhf.c,wave2,53
hbsd/src/lib/msun/src/e_sinhl.c,wave2,131
hbsd/src/lib/msun/src/e_sqrt.c,wave2,455
hbsd/src/lib/msun/src/e_sqrtf.c,wave2,93
hbsd/src/lib/msun/src/e_sqrtl.c,wave2,158
hbsd/src/lib/msun/src/k_cos.c,wave2,75
hbsd/src/lib/msun/src/k_cosf.c,wave2,41
hbsd/src/lib/msun/src/k_exp.c,wave2,108
hbsd/src/lib/msun/src/k_expf.c,wave2,87
hbsd/src/lib/msun/src/k_rem_pio2.c,wave2,439
hbsd/src/lib/msun/src/k_sin.c,wave2,66
hbsd/src/lib/msun/src/k_sinf.c,wave2,41
hbsd/src/lib/msun/src/k_tan.c,wave2,126
hbsd/src/lib/msun/src/k_tanf.c,wave2,61
hbsd/src/lib/msun/src/s_asinh.c,wave2,58
hbsd/src/lib/msun/src/s_asinhf.c,wave2,45
hbsd/src/lib/msun/src/s_asinhl.c,wave2,87
hbsd/src/lib/msun/src/s_atan.c,wave2,120
hbsd/src/lib/msun/src/s_atanf.c,wave2,89
hbsd/src/lib/msun/src/s_atanl.c,wave2,81
hbsd/src/lib/msun/src/s_carg.c,wave2,37
hbsd/src/lib/msun/src/s_cargf.c,wave2,37
hbsd/src/lib/msun/src/s_cargl.c,wave2,37
hbsd/src/lib/msun/src/s_cbrt.c,wave2,114
hbsd/src/lib/msun/src/s_cbrtf.c,wave2,70
hbsd/src/lib/msun/src/s_cbrtl.c,wave2,140
hbsd/src/lib/msun/src/s_ccosh.c,wave2,165
hbsd/src/lib/msun/src/s_ccoshf.c,wave2,105
hbsd/src/lib/msun/src/s_ceil.c,wave2,73
hbsd/src/lib/msun/src/s_ceilf.c,wave2,49
hbsd/src/lib/msun/src/s_ceill.c,wave2,96
hbsd/src/lib/msun/src/s_cexp.c,wave2,96
hbsd/src/lib/msun/src/s_cexpf.c,wave2,91
hbsd/src/lib/msun/src/s_cimag.c,wave2,38
hbsd/src/lib/msun/src/s_cimagf.c,wave2,38
hbsd/src/lib/msun/src/s_cimagl.c,wave2,38
hbsd/src/lib/msun/src/s_clog.c,wave2,152
hbsd/src/lib/msun/src/s_clogf.c,wave2,148
hbsd/src/lib/msun/src/s_clogl.c,wave2,165
hbsd/src/lib/msun/src/s_conj.c,wave2,38
hbsd/src/lib/msun/src/s_conjf.c,wave2,38
hbsd/src/lib/msun/src/s_conjl.c,wave2,38
hbsd/src/lib/msun/src/s_copysign.c,wave2,29
hbsd/src/lib/msun/src/s_copysignf.c,wave2,33
hbsd/src/lib/msun/src/s_copysignl.c,wave2,42
hbsd/src/lib/msun/src/s_cos.c,wave2,85
hbsd/src/lib/msun/src/s_cosf.c,wave2,84
hbsd/src/lib/msun/src/s_cosl.c,wave2,99
hbsd/src/lib/msun/src/s_cospi.c,wave2,145
hbsd/src/lib/msun/src/s_cospif.c,wave2,107
hbsd/src/lib/msun/src/s_cpow.c,wave2,75
hbsd/src/lib/msun/src/s_cpowf.c,wave2,74
hbsd/src/lib/msun/src/s_cpowl.c,wave2,74
hbsd/src/lib/msun/src/s_cproj.c,wave2,47
hbsd/src/lib/msun/src/s_cprojf.c,wave2,42
hbsd/src/lib/msun/src/s_cprojl.c,wave2,42
hbsd/src/lib/msun/src/s_creal.c,wave2,35
hbsd/src/lib/msun/src/s_crealf.c,wave2,35
hbsd/src/lib/msun/src/s_creall.c,wave2,35
hbsd/src/lib/msun/src/s_csinh.c,wave2,165
hbsd/src/lib/msun/src/s_csinhf.c,wave2,106
hbsd/src/lib/msun/src/s_csqrt.c,wave2,112
hbsd/src/lib/msun/src/s_csqrtf.c,wave2,81
hbsd/src/lib/msun/src/s_csqrtl.c,wave2,123
hbsd/src/lib/msun/src/s_ctanh.c,wave2,146
hbsd/src/lib/msun/src/s_ctanhf.c,wave2,84
hbsd/src/lib/msun/src/s_erf.c,wave2,305
hbsd/src/lib/msun/src/s_erff.c,wave2,178
hbsd/src/lib/msun/src/s_exp2.c,wave2,396
hbsd/src/lib/msun/src/s_exp2f.c,wave2,136
hbsd/src/lib/msun/src/s_expm1.c,wave2,218
hbsd/src/lib/msun/src/s_expm1f.c,wave2,121
hbsd/src/lib/msun/src/s_fabs.c,wave2,26
hbsd/src/lib/msun/src/s_fabsf.c,wave2,30
hbsd/src/lib/msun/src/s_fabsl.c,wave2,43
hbsd/src/lib/msun/src/s_fdim.c,wave2,45
hbsd/src/lib/msun/src/s_finite.c,wave2,25
hbsd/src/lib/msun/src/s_finitef.c,wave2,29
