batch_id,path,dir,lines,status,clone_of
b0001,hbsd/src/lib/msun/src/s_signgam.c,lib/msun/src,3,DEFERRED,
b0001,hbsd/src/lib/msun/src/s_lrintf.c,lib/msun/src,6,DEFERRED,
b0001,hbsd/src/lib/msun/src/s_llrint.c,lib/msun/src,6,DEFERRED,
b0001,hbsd/src/lib/msun/src/s_llrintf.c,lib/msun/src,6,DEFERRED,
b0002,hbsd/src/lib/libc/locale/c16rtomb_iconv.c,lib/libc/locale,7,DEFERRED,
b0002,hbsd/src/lib/libc/locale/c32rtomb_iconv.c,lib/libc/locale,7,DEFERRED,
b0002,hbsd/src/lib/libc/locale/mbrtoc16_iconv.c,lib/libc/locale,7,DEFERRED,
b0002,hbsd/src/lib/libc/locale/mbrtoc32_iconv.c,lib/libc/locale,7,DEFERRED,
b0003,hbsd/src/lib/msun/src/s_lrintl.c,lib/msun/src,6,DEFERRED,
b0003,hbsd/src/lib/msun/src/s_llrintl.c,lib/msun/src,6,DEFERRED,
b0003,hbsd/src/lib/msun/src/s_lroundf.c,lib/msun/src,8,DEFERRED,
b0003,hbsd/src/lib/msun/src/s_lroundl.c,lib/msun/src,8,DEFERRED,
b0004,hbsd/src/lib/libc_nonshared/__stub.c,lib/libc_nonshared,31,DEFERRED,
b0005,hbsd/src/sys/security/mac_none/mac_none.c,sys/security/mac_none,54,DEFERRED,
b0006,hbsd/src/sys/security/mac_pimd/mac_pimd.c,sys/security/mac_pimd,71,DEFERRED,
b0007,hbsd/src/sys/security/mac_ntpd/mac_ntpd.c,sys/security/mac_ntpd,74,DEFERRED,
b0008,hbsd/src/lib/libc/csu/aarch64/reloc.c,lib/libc/csu/aarch64,75,DEFERRED,
b0009,hbsd/src/lib/libc/softfloat/negsf2.c,lib/libc/softfloat,19,VERIFIED,
b0009,hbsd/src/lib/libc/softfloat/gtsf2.c,lib/libc/softfloat,19,VERIFIED,
b0009,hbsd/src/lib/libc/softfloat/gtdf2.c,lib/libc/softfloat,19,VERIFIED,
b0009,hbsd/src/lib/libc/softfloat/nesf2.c,lib/libc/softfloat,19,VERIFIED,
b0010s1,hbsd/src/lib/libc/softfloat/nedf2.c,lib/libc/softfloat,19,DEFERRED,
b0010s2,hbsd/src/lib/libc/softfloat/ltsf2.c,lib/libc/softfloat,19,DEFERRED,
b0010s3,hbsd/src/lib/libc/softfloat/ltdf2.c,lib/libc/softfloat,19,DEFERRED,
b0010s4,hbsd/src/lib/libc/softfloat/eqsf2.c,lib/libc/softfloat,19,DEFERRED,
b0011,hbsd/src/lib/libc/softfloat/eqdf2.c,lib/libc/softfloat,19,DEFERRED,
b0011,hbsd/src/lib/libc/softfloat/negdf2.c,lib/libc/softfloat,19,DEFERRED,
b0011,hbsd/src/lib/libc/softfloat/gesf2.c,lib/libc/softfloat,19,DEFERRED,
b0011,hbsd/src/lib/libc/softfloat/lesf2.c,lib/libc/softfloat,19,DEFERRED,
b0012s1,hbsd/src/lib/libc/softfloat/gedf2.c,lib/libc/softfloat,19,VERIFIED,
b0012s2,hbsd/src/lib/libc/softfloat/ledf2.c,lib/libc/softfloat,19,VERIFIED,
b0012s3,hbsd/src/lib/libc/softfloat/negxf2.c,lib/libc/softfloat,22,DEFERRED,
b0012s4,hbsd/src/lib/libc/softfloat/gtxf2.c,lib/libc/softfloat,22,VERIFIED,
b0013,hbsd/src/lib/libc/gen/_rand48.c,lib/libc/gen,18,VERIFIED,
b0013,hbsd/src/lib/libc/gen/nrand48.c,lib/libc/gen,23,VERIFIED,
b0013,hbsd/src/lib/libc/gen/erand48.c,lib/libc/gen,24,VERIFIED,
b0013,hbsd/src/lib/libc/gen/jrand48.c,lib/libc/gen,23,VERIFIED,
b0014,hbsd/src/lib/libc/softfloat/nexf2.c,lib/libc/softfloat,22,VERIFIED,
b0014,hbsd/src/lib/libc/softfloat/gttf2.c,lib/libc/softfloat,23,VERIFIED,
b0014,hbsd/src/lib/libc/softfloat/netf2.c,lib/libc/softfloat,23,VERIFIED,
b0014,hbsd/src/lib/libc/softfloat/eqtf2.c,lib/libc/softfloat,21,VERIFIED,
b0015,hbsd/src/lib/libc/gen/pmadvise.c,lib/libc/gen,23,VERIFIED,
b0015,hbsd/src/lib/libc/gen/timespec_getres.c,lib/libc/gen,24,VERIFIED,
b0015,hbsd/src/lib/libc/gen/lrand48.c,lib/libc/gen,21,DEFERRED,
b0015,hbsd/src/lib/libc/gen/drand48.c,lib/libc/gen,22,DEFERRED,
b0016s1,hbsd/src/lib/libc/softfloat/lttf2.c,lib/libc/softfloat,23,DEFERRED,
b0016s2,hbsd/src/lib/libc/softfloat/gexf2.c,lib/libc/softfloat,22,VERIFIED,
b0016s3,hbsd/src/lib/libc/softfloat/getf2.c,lib/libc/softfloat,23,DEFERRED,
b0016s4,hbsd/src/lib/libc/softfloat/letf2.c,lib/libc/softfloat,23,DEFERRED,
b0017,hbsd/src/lib/libc/gen/mrand48.c,lib/libc/gen,23,VERIFIED,
b0017,hbsd/src/lib/libc/gen/lcong48.c,lib/libc/gen,22,VERIFIED,
b0017,hbsd/src/lib/libc/gen/srand48.c,lib/libc/gen,23,VERIFIED,
b0017,hbsd/src/lib/libc/gen/seed48.c,lib/libc/gen,26,VERIFIED,
b0018,hbsd/src/lib/libc/aarch64/string/strsep.c,lib/libc/aarch64/string,57,VERIFIED,
b0018,hbsd/src/lib/libc/aarch64/string/memset_resolver.c,lib/libc/aarch64/string,55,DEFERRED,
b0019,hbsd/src/lib/libc/uuid/uuid_stream.c,lib/libc/uuid,112,VERIFIED,
b0020s1,hbsd/src/lib/libc/sys/pdwait.c,lib/libc/sys,20,DEFERRED,
b0020s2,hbsd/src/lib/libc/sys/closefrom.c,lib/libc/sys,37,VERIFIED,
b0020s3,hbsd/src/lib/libc/sys/sigwait.c,lib/libc/sys,36,DEFERRED,
b0020s4,hbsd/src/lib/libc/sys/getdents.c,lib/libc/sys,38,VERIFIED,
b0021,hbsd/src/lib/libc/stdlib/_Exit.c,lib/libc/stdlib,20,VERIFIED,
b0021,hbsd/src/lib/libc/stdlib/remque.c,lib/libc/stdlib,27,VERIFIED,
b0021,hbsd/src/lib/libc/stdlib/l64a.c,lib/libc/stdlib,42,VERIFIED,
b0021,hbsd/src/lib/libc/stdlib/a64l.c,lib/libc/stdlib,44,VERIFIED,
b0022,hbsd/src/lib/libc/aarch64/gen/infinity.c,lib/libc/aarch64/gen,11,DEFERRED,
b0022,hbsd/src/lib/libc/aarch64/gen/fpgetmask.c,lib/libc/aarch64/gen,43,DEFERRED,
b0022,hbsd/src/lib/libc/aarch64/gen/flt_rounds.c,lib/libc/aarch64/gen,46,DEFERRED,
b0022,hbsd/src/lib/libc/aarch64/gen/fpsetmask.c,lib/libc/aarch64/gen,48,DEFERRED,
b0023,hbsd/src/lib/libc/gdtoa/glue.c,lib/libc/gdtoa,11,DEFERRED,
b0023,hbsd/src/lib/libc/gdtoa/machdep_ldisd.c,lib/libc/gdtoa,48,DEFERRED,
b0023,hbsd/src/lib/libc/gdtoa/machdep_ldisQ.c,lib/libc/gdtoa,51,DEFERRED,
b0023,hbsd/src/lib/libc/gdtoa/machdep_ldisx.c,lib/libc/gdtoa,52,DEFERRED,
b0024,hbsd/src/lib/libc/sys/stat.c,lib/libc/sys,40,DEFERRED,
b0024,hbsd/src/lib/libc/sys/mknod.c,lib/libc/sys,42,DEFERRED,
b0024,hbsd/src/lib/libc/sys/lstat.c,lib/libc/sys,40,DEFERRED,
b0024,hbsd/src/lib/libc/sys/POSIX2x_Fork.c,lib/libc/sys,41,DEFERRED,
b0025,hbsd/src/lib/libc/sys/fork.c,lib/libc/sys,41,DEFERRED,
b0025,hbsd/src/lib/libc/sys/fsync.c,lib/libc/sys,41,DEFERRED,
b0025,hbsd/src/lib/libc/sys/fdatasync.c,lib/libc/sys,41,DEFERRED,
b0025,hbsd/src/lib/libc/sys/close.c,lib/libc/sys,42,DEFERRED,
b0026,hbsd/src/lib/libc/stdbit/stdc_count_ones.c,lib/libc/stdbit,38,VERIFIED,
b0026,hbsd/src/lib/libc/stdbit/stdc_has_single_bit.c,lib/libc/stdbit,38,VERIFIED,
b0026,hbsd/src/lib/libc/stdbit/stdc_count_zeros.c,lib/libc/stdbit,38,VERIFIED,
b0026,hbsd/src/lib/libc/stdbit/stdc_first_trailing_one.c,lib/libc/stdbit,52,VERIFIED,
b0027,hbsd/src/lib/libc/sys/read.c,lib/libc/sys,42,DEFERRED,
b0027,hbsd/src/lib/libc/sys/msync.c,lib/libc/sys,42,DEFERRED,
b0027,hbsd/src/lib/libc/sys/write.c,lib/libc/sys,42,DEFERRED,
b0027,hbsd/src/lib/libc/sys/wait4.c,lib/libc/sys,41,DEFERRED,
b0028,hbsd/src/lib/libc/sys/sendmsg.c,lib/libc/sys,42,DEFERRED,
b0028,hbsd/src/lib/libc/sys/accept.c,lib/libc/sys,42,DEFERRED,
b0028,hbsd/src/lib/libc/sys/connect.c,lib/libc/sys,42,DEFERRED,
b0028,hbsd/src/lib/libc/sys/writev.c,lib/libc/sys,43,DEFERRED,
b0029,hbsd/src/sys/security/mac_veriexec/mac_veriexec_sha384.c,sys/security/mac_veriexec,41,DEFERRED,
b0029,hbsd/src/sys/security/mac_veriexec/mac_veriexec_sha256.c,sys/security/mac_veriexec,41,DEFERRED,
b0029,hbsd/src/sys/security/mac_veriexec/mac_veriexec_sha512.c,sys/security/mac_veriexec,41,DEFERRED,
b0029,hbsd/src/sys/security/mac_veriexec/mac_veriexec_sha1.c,sys/security/mac_veriexec,49,SKIPPED,
b0030,hbsd/src/lib/msun/src/k_sinf.c,lib/msun/src,41,VERIFIED,
b0030,hbsd/src/lib/msun/src/k_cosf.c,lib/msun/src,41,VERIFIED,
b0030,hbsd/src/lib/msun/src/s_logbl.c,lib/msun/src,50,DEFERRED,
b0030,hbsd/src/lib/msun/src/s_rintf.c,lib/msun/src,50,DEFERRED,
b0031,hbsd/src/lib/libc/string/wcspbrk.c,lib/libc/string,58,VERIFIED,
b0031,hbsd/src/lib/libc/string/ffs.c,lib/libc/string,45,VERIFIED,
b0031,hbsd/src/lib/libc/string/ffsl.c,lib/libc/string,45,VERIFIED,
b0031,hbsd/src/lib/libc/string/strcmp.c,lib/libc/string,47,VERIFIED,
b0032,hbsd/src/lib/libc/string/memcmp.c,lib/libc/string,52,VERIFIED,
b0032,hbsd/src/lib/libc/string/flsl.c,lib/libc/string,47,VERIFIED,
b0032,hbsd/src/lib/libc/string/flsll.c,lib/libc/string,46,VERIFIED,
b0032,hbsd/src/lib/libc/string/wcsncmp.c,lib/libc/string,52,VERIFIED,
b0033,hbsd/src/lib/libc/quad/iordi3.c,lib/libc/quad,51,DEFERRED,
b0033,hbsd/src/lib/libc/quad/negdi2.c,lib/libc/quad,50,DEFERRED,
b0033,hbsd/src/lib/libc/quad/notdi2.c,lib/libc/quad,51,DEFERRED,
b0033,hbsd/src/lib/libc/quad/floatunsdidf.c,lib/libc/quad,52,DEFERRED,
b0034,hbsd/src/lib/libc/quad/ucmpdi2.c,lib/libc/quad,51,DEFERRED,
b0034,hbsd/src/lib/libc/quad/fixdfdi.c,lib/libc/quad,55,VERIFIED,
b0034,hbsd/src/lib/libc/quad/cmpdi2.c,lib/libc/quad,52,DEFERRED,
b0034,hbsd/src/lib/libc/quad/subdi3.c,lib/libc/quad,52,DEFERRED,
b0035,hbsd/src/lib/libc/stdbit/stdc_bit_width.c,lib/libc/stdbit,53,VERIFIED,
b0035,hbsd/src/lib/libc/stdbit/stdc_first_trailing_zero.c,lib/libc/stdbit,53,VERIFIED,
b0035,hbsd/src/lib/libc/stdbit/stdc_bit_floor.c,lib/libc/stdbit,53,VERIFIED,
b0035,hbsd/src/lib/libc/stdbit/stdc_first_leading_one.c,lib/libc/stdbit,57,VERIFIED,
b0036,hbsd/src/lib/libc/stdbit/stdc_first_leading_zero.c,lib/libc/stdbit,57,VERIFIED,
b0036,hbsd/src/lib/libc/stdbit/stdc_trailing_ones.c,lib/libc/stdbit,56,VERIFIED,
b0036,hbsd/src/lib/libc/stdbit/stdc_trailing_zeros.c,lib/libc/stdbit,56,VERIFIED,
b0036,hbsd/src/lib/libc/stdbit/stdc_leading_ones.c,lib/libc/stdbit,60,VERIFIED,
b0037,hbsd/src/sys/x86/linux/linux_dummy_x86.c,sys/x86/linux,50,DEFERRED,
b0037,hbsd/src/sys/x86/linux/linux_vdso_selector_x86.c,sys/x86/linux,67,DEFERRED,
b0037,hbsd/src/sys/x86/linux/linux_x86.c,sys/x86/linux,112,DEFERRED,
b0038,hbsd/src/lib/msun/src/s_fminimuml.c,lib/msun/src,55,DEFERRED,
